0,0,0
0.00014869,0.0028732,-0.0010983
0.00029739,0.0057462,-0.0020167
0.00044608,0.0086189,-0.0029166
0.00059477,0.011491,-0.0038025
0.00074347,0.014363,-0.0046787
0.00089216,0.017234,-0.0055455
0.0010409,0.020104,-0.0064044
0.0011895,0.022973,-0.0072556
0.0013382,0.025842,-0.0081
0.0014869,0.028708,-0.0089376
0.0016356,0.031574,-0.0097691
0.0017843,0.034438,-0.010594
0.001933,0.0373,-0.011414
0.0020817,0.04016,-0.012228
0.0022304,0.043019,-0.013036
0.0023791,0.045875,-0.013839
0.0025278,0.048729,-0.014637
0.0026765,0.05158,-0.01543
0.0028252,0.054429,-0.016218
0.0029739,0.057276,-0.017001
0.0031226,0.060119,-0.017779
0.0032713,0.06296,-0.018552
0.00342,0.065798,-0.019321
0.0035686,0.068632,-0.020085
0.0037173,0.071463,-0.020844
0.003866,0.07429,-0.021599
0.0040147,0.077114,-0.02235
0.0041634,0.079934,-0.023096
0.0043121,0.08275,-0.023837
0.0044608,0.085562,-0.024574
0.0046095,0.08837,-0.025307
0.0047582,0.091174,-0.026035
0.0049069,0.093973,-0.026759
0.0050556,0.096767,-0.027479
0.0052043,0.099557,-0.028194
0.005353,0.10234,-0.028905
0.0055017,0.10512,-0.029612
0.0056504,0.1079,-0.030315
0.0057991,0.11066,-0.031013
0.0059477,0.11343,-0.031707
0.0060964,0.11619,-0.032397
0.0062451,0.11894,-0.033082
0.0063938,0.12169,-0.033764
0.0065425,0.12443,-0.034441
0.0066912,0.12716,-0.035113
0.0068399,0.12989,-0.035782
0.0069886,0.13261,-0.036446
0.0071373,0.13533,-0.037107
0.007286,0.13804,-0.037762
0.0074347,0.14074,-0.038414
0.0075834,0.14343,-0.039061
0.0077321,0.14612,-0.039705
0.0078808,0.1488,-0.040343
0.0080295,0.15148,-0.040978
0.0081781,0.15414,-0.041608
0.0083268,0.1568,-0.042235
0.0084755,0.15945,-0.042856
0.0086242,0.1621,-0.043474
0.0087729,0.16473,-0.044087
0.0089216,0.16736,-0.044696
0.0090703,0.16998,-0.045301
0.009219,0.17259,-0.045901
0.0093677,0.17519,-0.046497
0.0095164,0.17778,-0.047089
0.0096651,0.18037,-0.047676
0.0098138,0.18294,-0.048259
0.0099625,0.18551,-0.048837
0.010111,0.18807,-0.049412
0.01026,0.19062,-0.049981
0.010409,0.19316,-0.050547
0.010557,0.19568,-0.051108
0.010706,0.1982,-0.051664
0.010855,0.20072,-0.052216
0.011003,0.20322,-0.052764
0.011152,0.20571,-0.053307
0.011301,0.20819,-0.053846
0.011449,0.21066,-0.054381
0.011598,0.21312,-0.05491
0.011747,0.21557,-0.055436
0.011895,0.218,-0.055957
0.012044,0.22043,-0.056473
0.012193,0.22285,-0.056985
0.012342,0.22526,-0.057492
0.01249,0.22765,-0.057994
0.012639,0.23004,-0.058493
0.012788,0.23241,-0.058986
0.012936,0.23477,-0.059475
0.013085,0.23712,-0.059959
0.013234,0.23946,-0.060439
0.013382,0.24178,-0.060914
0.013531,0.2441,-0.061385
0.01368,0.2464,-0.06185
0.013829,0.24869,-0.062312
0.013977,0.25097,-0.062768
0.014126,0.25324,-0.06322
0.014275,0.25549,-0.063667
0.014423,0.25773,-0.064109
0.014572,0.25996,-0.064547
0.014721,0.26218,-0.06498
0.014869,0.26438,-0.065408
0.015018,0.26657,-0.065831
0.015167,0.26874,-0.06625
0.015315,0.27091,-0.066664
0.015464,0.27306,-0.067073
0.015613,0.27519,-0.067477
0.015762,0.27732,-0.067877
0.01591,0.27943,-0.068272
0.016059,0.28152,-0.068662
0.016208,0.28361,-0.069047
0.016356,0.28567,-0.069427
0.016505,0.28773,-0.069802
0.016654,0.28977,-0.070173
0.016802,0.29179,-0.070538
0.016951,0.2938,-0.070899
0.0171,0.2958,-0.071255
0.017248,0.29778,-0.071606
0.017397,0.29975,-0.071952
0.017546,0.30171,-0.072293
0.017695,0.30364,-0.072629
0.017843,0.30557,-0.07296
0.017992,0.30748,-0.073286
0.018141,0.30937,-0.073607
0.018289,0.31125,-0.073924
0.018438,0.31311,-0.074235
0.018587,0.31496,-0.074541
0.018735,0.31679,-0.074843
0.018884,0.31861,-0.075139
0.019033,0.32041,-0.075431
0.019181,0.32219,-0.075717
0.01933,0.32396,-0.075998
0.019479,0.32571,-0.076275
0.019628,0.32745,-0.076546
0.019776,0.32917,-0.076812
0.019925,0.33088,-0.077073
0.020074,0.33257,-0.077329
0.020222,0.33424,-0.07758
0.020371,0.3359,-0.077826
0.02052,0.33754,-0.078067
0.020668,0.33916,-0.078303
0.020817,0.34077,-0.078534
0.020966,0.34235,-0.078759
0.021114,0.34393,-0.07898
0.021263,0.34548,-0.079195
0.021412,0.34702,-0.079406
0.021561,0.34854,-0.079611
0.021709,0.35005,-0.079811
0.021858,0.35154,-0.080006
0.022007,0.35301,-0.080196
0.022155,0.35446,-0.080381
0.022304,0.3559,-0.08056
0.022453,0.35731,-0.080735
0.022601,0.35872,-0.080904
0.02275,0.3601,-0.081069
0.022899,0.36146,-0.081228
0.023048,0.36281,-0.081382
0.023196,0.36414,-0.08153
0.023345,0.36545,-0.081674
0.023494,0.36675,-0.081812
0.023642,0.36802,-0.081946
0.023791,0.36928,-0.082074
0.02394,0.37052,-0.082197
0.024088,0.37174,-0.082315
0.024237,0.37295,-0.082428
0.024386,0.37413,-0.082535
0.024534,0.3753,-0.082638
0.024683,0.37645,-0.082735
0.024832,0.37758,-0.082827
0.024981,0.37869,-0.082914
0.025129,0.37978,-0.082996
0.025278,0.38085,-0.083072
